,ano_eleicao,nr_turno,nr_candidato,nm_urna_candidato,uf,votos,perc_votos
4827,2022,1,12,CIRO GOMES,AP,14670,3.39
4828,2022,1,14,ROBERTO JEFFERSON,AP,359,0.08
4829,2022,1,14,PADRE KELMON,AP,359,0.08
4830,2022,1,30,FELIPE D AVILA,AP,1236,0.29
4831,2022,1,22,JAIR BOLSONARO,AP,187621,43.41
4832,2022,1,44,SORAYA THRONICKE,AP,2955,0.68
4833,2022,1,80,LÉO PÉRICLES,AP,105,0.02
4834,2022,1,16,VERA,AP,144,0.03
4835,2022,1,15,SIMONE TEBET,AP,27497,6.36
4836,2022,1,21,SOFIA MANZANO,BA,2423,0.03
4837,2022,1,27,CONSTITUINTE EYMAEL,BA,753,0.01
4838,2022,1,13,LULA,BA,5873081,69.73
4839,2022,1,12,CIRO GOMES,BA,217224,2.58
4840,2022,1,14,ROBERTO JEFFERSON,BA,4898,0.06
4841,2022,1,14,PADRE KELMON,BA,4898,0.06
4842,2022,1,30,FELIPE D AVILA,BA,11605,0.14
4843,2022,1,22,JAIR BOLSONARO,BA,2047599,24.31
4844,2022,1,44,SORAYA THRONICKE,BA,65046,0.77
4845,2022,1,80,LÉO PÉRICLES,BA,1926,0.02
4846,2022,1,16,VERA,BA,1148,0.01
4847,2022,1,15,SIMONE TEBET,BA,197305,2.34
4848,2022,1,21,SOFIA MANZANO,CE,1579,0.03
4849,2022,1,27,CONSTITUINTE EYMAEL,CE,416,0.01
4850,2022,1,13,LULA,CE,3578355,65.91
4851,2022,1,12,CIRO GOMES,CE,369222,6.8
4852,2022,1,14,ROBERTO JEFFERSON,CE,2278,0.04
4853,2022,1,14,PADRE KELMON,CE,2278,0.04
4854,2022,1,30,FELIPE D AVILA,CE,7030,0.13
4855,2022,1,22,JAIR BOLSONARO,CE,1377827,25.38
4856,2022,1,44,SORAYA THRONICKE,CE,24497,0.45
4857,2022,1,80,LÉO PÉRICLES,CE,1129,0.02
4858,2022,1,16,VERA,CE,717,0.01
4859,2022,1,15,SIMONE TEBET,CE,66214,1.22
4860,2022,1,21,SOFIA MANZANO,DF,894,0.05
4861,2022,1,27,CONSTITUINTE EYMAEL,DF,518,0.03
4862,2022,1,13,LULA,DF,649534,36.85
4863,2022,1,12,CIRO GOMES,DF,74308,4.22
4864,2022,1,14,ROBERTO JEFFERSON,DF,1554,0.09
4865,2022,1,14,PADRE KELMON,DF,1554,0.09
4866,2022,1,30,FELIPE D AVILA,DF,10342,0.59
4867,2022,1,22,JAIR BOLSONARO,DF,910397,51.65
4868,2022,1,44,SORAYA THRONICKE,DF,7935,0.45
4869,2022,1,80,LÉO PÉRICLES,DF,1262,0.07
4870,2022,1,16,VERA,DF,454,0.03
4871,2022,1,15,SIMONE TEBET,DF,105377,5.98
4872,2022,1,21,SOFIA MANZANO,ES,683,0.03
4873,2022,1,27,CONSTITUINTE EYMAEL,ES,377,0.02
4874,2022,1,13,LULA,ES,897348,40.4
4875,2022,1,12,CIRO GOMES,ES,56221,2.53
4876,2022,1,14,ROBERTO JEFFERSON,ES,1752,0.08
4877,2022,1,14,PADRE KELMON,ES,1752,0.08
4878,2022,1,30,FELIPE D AVILA,ES,8341,0.38
4879,2022,1,22,JAIR BOLSONARO,ES,1160030,52.23
4880,2022,1,44,SORAYA THRONICKE,ES,9944,0.45
4881,2022,1,80,LÉO PÉRICLES,ES,672,0.03
4882,2022,1,16,VERA,ES,437,0.02
4883,2022,1,15,SIMONE TEBET,ES,85325,3.84
4884,2022,1,21,SOFIA MANZANO,GO,1073,0.03
4885,2022,1,27,CONSTITUINTE EYMAEL,GO,397,0.01
4886,2022,1,13,LULA,GO,1454723,39.51
4887,2022,1,12,CIRO GOMES,GO,90695,2.46
4888,2022,1,14,ROBERTO JEFFERSON,GO,2303,0.06
4889,2022,1,14,PADRE KELMON,GO,2303,0.06
4890,2022,1,30,FELIPE D AVILA,GO,11145,0.3
4891,2022,1,22,JAIR BOLSONARO,GO,1920203,52.16
4892,2022,1,44,SORAYA THRONICKE,GO,28570,0.78
4893,2022,1,80,LÉO PÉRICLES,GO,1120,0.03
4894,2022,1,16,VERA,GO,498,0.01
4895,2022,1,15,SIMONE TEBET,GO,170742,4.64
4896,2022,1,21,SOFIA MANZANO,MA,727,0.02
4897,2022,1,27,CONSTITUINTE EYMAEL,MA,391,0.01
4898,2022,1,13,LULA,MA,2603454,68.84
4899,2022,1,12,CIRO GOMES,MA,96095,2.54
4900,2022,1,14,ROBERTO JEFFERSON,MA,4357,0.12
4901,2022,1,14,PADRE KELMON,MA,4357,0.12
4902,2022,1,30,FELIPE D AVILA,MA,4368,0.12
4903,2022,1,22,JAIR BOLSONARO,MA,983861,26.02
4904,2022,1,44,SORAYA THRONICKE,MA,8709,0.23
4905,2022,1,80,LÉO PÉRICLES,MA,630,0.02
4906,2022,1,16,VERA,MA,799,0.02
4907,2022,1,15,SIMONE TEBET,MA,78254,2.07
4908,2022,1,21,SOFIA MANZANO,MG,4431,0.04
4909,2022,1,27,CONSTITUINTE EYMAEL,MG,1588,0.01
